antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Technical'}),"frozenset({'salary', 'no'})",0.50235,0.37895,0.19335,0.3848910122424605,1.015677562323421,1.0,0.0029844675000000043,1.0096584708737864,0.031016919942659947,0.28105240206410353,0.00956607719581429,0.4475583178378155
frozenset({'Management'}),"frozenset({'work', 'yes'})",0.49765,0.3718,0.18785,0.3774741284034964,1.0152612383095654,1.0,0.0028237299999999965,1.0091146868947707,0.029923029581038284,0.2756015258215962,0.00903235976360459,0.4413594418241258
"frozenset({'work', 'yes'})",frozenset({'Management'}),0.3718,0.49765,0.18785,0.5052447552447552,1.0152612383095654,1.0,0.0028237299999999965,1.0153505300353358,0.02392842074185703,0.2756015258215962,0.015118453756853237,0.4413594418241258
frozenset({'work'}),"frozenset({'stubborn', 'yes'})",0.4961,0.37565,0.18915,0.38127393670630927,1.01497121444512,1.0,0.002790035000000024,1.0090895422707282,0.029272441543326828,0.2771022560796953,0.009007666703466461,0.4424005780962666
"frozenset({'stubborn', 'yes'})",frozenset({'work'}),0.37565,0.4961,0.18915,0.5035272194862239,1.0149712144451197,1.0,0.002790035000000024,1.0149599731903487,0.02362518346069094,0.2771022560796953,0.014739471097884371,0.4424005780962666
frozenset({'gentle'}),"frozenset({'salary', 'Technical'})",0.50155,0.256,0.1303,0.25979463662645796,1.0148227993221015,1.0,0.0019031999999999938,1.0051264646464646,0.029303426962801787,0.20773216420884813,0.005100318046314461,0.38438950581322895
"frozenset({'salary', 'Technical'})",frozenset({'gentle'}),0.256,0.50155,0.1303,0.5089843749999999,1.0148227993221013,1.0,0.0019031999999999938,1.0151408114558471,0.019632114475280307,0.20773216420884813,0.014914986458019627,0.38438950581322895
frozenset({'work'}),"frozenset({'Management', 'smart worker'})",0.4961,0.25365,0.1277,0.25740778068937714,1.0148148262936219,1.0,0.0018642350000000196,1.0050603555917481,0.028971127787439953,0.20528896390965362,0.005034877322137274,0.3804287080068215
"frozenset({'Management', 'smart worker'})",frozenset({'work'}),0.25365,0.4961,0.1277,0.5034496353242658,1.0148148262936219,1.0,0.0018642350000000196,1.0148013894402543,0.019559926699391692,0.20528896390965362,0.014585503719519352,0.3804287080068215
"frozenset({'no', 'gentle', 'yes'})",frozenset({'Management'}),0.2513,0.49765,0.1269,0.5049741345005969,1.0147174409737707,1.0,0.0018405549999999937,1.014795458199357,0.019372217859524872,0.2040028936580661,0.01457974420343771,0.37998631370865277
frozenset({'Management'}),"frozenset({'no', 'gentle', 'yes'})",0.49765,0.2513,0.1269,0.25499849291670856,1.0147174409737705,1.0,0.0018405549999999937,1.0049644099797708,0.028872259403655356,0.2040028936580661,0.0049398863586330175,0.37998631370865277
"frozenset({'salary', 'gentle'})",frozenset({'hard worker'}),0.25635,0.49765,0.12945,0.5049736688121709,1.014716505198776,1.0,0.0018774225000000033,1.0147945035460995,0.019502549161112985,0.20726923384837087,0.01457881718357896,0.3825481224599385
frozenset({'hard worker'}),"frozenset({'salary', 'gentle'})",0.49765,0.25635,0.12945,0.2601225761077062,1.0147165051987759,1.0,0.0018774225000000033,1.0050989204236827,0.028870450251142963,0.20726923384837087,0.005073053328455867,0.3825481224599385
"frozenset({'stubborn', 'no', 'yes'})",frozenset({'work'}),0.2504,0.4961,0.12605,0.5033945686900958,1.0147038272326059,1.0,0.001826559999999991,1.0146888620828307,0.01933132021859487,0.2031589975018132,0.014476222842023843,0.37873820351457016
frozenset({'work'}),"frozenset({'stubborn', 'no', 'yes'})",0.4961,0.2504,0.12605,0.2540818383390445,1.0147038272326059,1.0,0.001826559999999991,1.0049359816241048,0.0287572090411961,0.2031589975018132,0.004911737378661296,0.37873820351457016
frozenset({'work'}),frozenset({'stubborn'}),0.4961,0.49845,0.2509,0.5057448095142109,1.0146349874896397,1.0,0.003618955000000007,1.014759196574225,0.02862451673281609,0.3373899011631816,0.014544530982376343,0.5045526134039106
frozenset({'stubborn'}),frozenset({'work'}),0.49845,0.4961,0.2509,0.5033604172936103,1.0146349874896397,1.0,0.003618955000000007,1.0146190870531206,0.028758636191139532,0.3373899011631816,0.014408448687458357,0.5045526134039106
frozenset({'smart worker'}),frozenset({'Management'}),0.50235,0.49765,0.25365,0.5049268438339803,1.0146224130091035,1.0,0.003655522500000008,1.0146985223160436,0.028959468460962326,0.3398539559188048,0.01448560532294289,0.5073112065045517
frozenset({'Technical'}),frozenset({'hard worker'}),0.50235,0.49765,0.25365,0.5049268438339803,1.0146224130091035,1.0,0.003655522500000008,1.0146985223160436,0.028959468460962326,0.3398539559188048,0.01448560532294289,0.5073112065045517
frozenset({'Management'}),frozenset({'smart worker'}),0.49765,0.50235,0.25365,0.509695569175123,1.0146224130091033,1.0,0.003655522500000008,1.014981649590164,0.028688522901558478,0.3398539559188048,0.014760512760219186,0.5073112065045517
frozenset({'hard worker'}),frozenset({'Technical'}),0.49765,0.50235,0.25365,0.509695569175123,1.0146224130091033,1.0,0.003655522500000008,1.014981649590164,0.028688522901558478,0.3398539559188048,0.014760512760219186,0.5073112065045517
"frozenset({'salary', 'Management'})",frozenset({'yes'}),0.2479,0.7509,0.18885,0.7617991125453811,1.0145147323816501,1.0,0.0027018899999999846,1.0457559695173577,0.019022828217606952,0.23316254089758623,0.04375396445355728,0.5066486573513961
frozenset({'yes'}),"frozenset({'salary', 'Management'})",0.7509,0.2479,0.18885,0.2514982021574111,1.0145147323816501,1.0,0.0027018899999999846,1.0048072057646116,0.057435042563075835,0.23316254089758623,0.004784207096677409,0.5066486573513961
frozenset({'work'}),"frozenset({'stubborn', 'no'})",0.4961,0.3732,0.1878,0.37855271114694616,1.0143427415513027,1.0,0.0026554800000000156,1.0086132987349985,0.028060996432301064,0.2755685986793837,0.008539743374196215,0.44088407261527374
"frozenset({'stubborn', 'no'})",frozenset({'work'}),0.3732,0.4961,0.1878,0.5032154340836013,1.0143427415513027,1.0,0.0026554800000000156,1.0143229773462783,0.022558928050792126,0.2755685986793837,0.014120726500498648,0.44088407261527374
frozenset({'salary'}),frozenset({'gentle'}),0.5039,0.50155,0.25635,0.5087318912482636,1.0143193923801486,1.0,0.0036189549999999793,1.0146190870531204,0.028456444369849045,0.34221065278334,0.014408448687458155,0.5099237165343102
frozenset({'gentle'}),frozenset({'salary'}),0.50155,0.5039,0.25635,0.5111155418203569,1.0143193923801486,1.0,0.0036189549999999793,1.014759196574225,0.028322283181627265,0.34221065278334,0.014544530982376307,0.5099237165343102
"frozenset({'Management', 'smart worker'})","frozenset({'no', 'yes'})",0.25365,0.5017,0.12905,0.5087719298245614,1.0140959334753068,1.0,0.001793794999999987,1.0143964285714286,0.01862396998727125,0.20605141306083347,0.014192112832754157,0.3829986816752865
